business_name,website,public_phone,public_business_email,city,state,category,source_platform,source_url,contact_page_url,normalized_domain,notes,niche_tag,geography_tag,record_status,failure_reasons,quality_score,has_valid_phone,has_valid_email,has_contact_page,domain_status
Jack C. Wilson Roofing,https://www.jackcwilsonroofing.com/,(904) 396-1546,jcwroof@jcwroof.com,Jacksonville,FL,roofing contractor,public_business_site,https://www.jackcwilsonroofing.com/,https://www.jackcwilsonroofing.com/contact-us/,jackcwilsonroofing.com,"Seeded from Brave search API result for Jacksonville, FL; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, email, contact_url.",roofing,jacksonville-fl,pass,,100,true,true,true,valid_business_site
Bigfoot Roofing & Construction,https://www.bigfootroofing.com/,(904) 751-6112,m-header-logo@2x.webp,Jacksonville,FL,roofing contractor,public_business_site,https://www.bigfootroofing.com/,https://www.bigfootroofing.com/contact,bigfootroofing.com,"Seeded from Brave search API result for Jacksonville, FL; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, email, contact_url.",roofing,jacksonville-fl,pass,,100,true,true,true,valid_business_site
Able Roofing,https://www.ableroof.com/,(614) 421-7954,smile@ableroof.com,Columbus,OH,roofing contractor,public_business_site,https://www.ableroof.com/,https://www.ableroof.com/free-estimate,ableroof.com,"Seeded from Brave search API result for Columbus, OH; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, email, contact_url.",roofing,columbus-oh,pass,,100,true,true,true,valid_business_site
Roof King & Restoration,https://www.roofkingco.com/,(614) 490-0123,,Columbus,OH,roofing contractor,public_business_site,https://www.roofkingco.com/,https://www.roofkingco.com/contact-us/,roofkingco.com,"Seeded from Brave search API result for Columbus, OH; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, contact_url.",roofing,columbus-oh,review,missing_email,80,true,false,true,valid_business_site
Charlotte Roofing Specialists,https://www.charlotteroofing.com/,(704) 364-3464,,Charlotte,NC,roofing contractor,public_business_site,https://www.charlotteroofing.com/,https://www.charlotteroofing.com/contact-our-roofers/,charlotteroofing.com,"Seeded from Brave search API result for Charlotte, NC; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, contact_url.",roofing,charlotte-nc,review,missing_email,80,true,false,true,valid_business_site
Roof Medic,https://roofmedic.com/,(704) 228-7788,contact@roofmedic.com,Charlotte,NC,roofing contractor,public_business_site,https://roofmedic.com/,https://roofmedic.com/contact/,roofmedic.com,"Seeded from Brave search API result for Charlotte, NC; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, email, contact_url.",roofing,charlotte-nc,pass,,100,true,true,true,valid_business_site
DLV Roofing,https://dlvroofing.com/,(828) 654-0212,info@dlvroofing.com,Indianapolis,IN,roofing contractor,public_business_site,https://dlvroofing.com/locations/indianapolis-in/,https://dlvroofing.com/contact-dlv-roofing/,dlvroofing.com,"Seeded from Brave search API result for Indianapolis, IN; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, email, contact_url.",roofing,indianapolis-in,pass,,100,true,true,true,valid_business_site
Nu-Tec Roofing Contractors,https://nutecroofing.com/,,,Indianapolis,IN,roofing contractor,public_business_site,https://nutecroofing.com/,,nutecroofing.com,"Seeded from Brave search API result for Indianapolis, IN; manual staged net-new row pending homepage enrichment. Homepage fetch issue: HTTPError.",roofing,indianapolis-in,review,missing_phone|missing_email|missing_contact_page|notes_review,45,false,false,false,valid_business_site
Seattle Roofing Company,https://seattleroofingco.com/,(253) 345-4607,info@seattleroofingco.com,Seattle,WA,roofing contractor,public_business_site,https://seattleroofingco.com/,https://seattleroofingco.com/contact,seattleroofingco.com,"Seeded from Brave search API result for Seattle, WA; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, email, contact_url.",roofing,seattle-wa,pass,,100,true,true,true,valid_business_site
State Roofing & Exteriors,https://www.stateroofing.com/,(253) 480-6962,,Seattle,WA,roofing contractor,public_business_site,https://www.stateroofing.com/,https://www.stateroofing.com/contact-us/,stateroofing.com,"Seeded from Brave search API result for Seattle, WA; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, contact_url.",roofing,seattle-wa,review,missing_email,80,true,false,true,valid_business_site
